filename,disaster,uid,phase,lon_origin,lat_origin,pixel_width,pixel_height,crs_wkt
guatemala-volcano_00000020_pre_disaster.png,guatemala-volcano,00000020,pre,-90.82307020932015,14.414359902299086,4.488628277641187e-06,-4.488628277641187e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
guatemala-volcano_00000020_post_disaster.png,guatemala-volcano,00000020,post,-90.82307020932015,14.414359902299086,4.488628277641187e-06,-4.488628277641187e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
guatemala-volcano_00000022_pre_disaster.png,guatemala-volcano,00000022,pre,-90.84656734507239,14.391883642640861,4.488484900944135e-06,-4.488484900944135e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
guatemala-volcano_00000022_post_disaster.png,guatemala-volcano,00000022,post,-90.84656734507239,14.391883642640861,4.488484900944135e-06,-4.488484900944135e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
guatemala-volcano_00000012_pre_disaster.png,guatemala-volcano,00000012,pre,-90.80885796826026,14.364308367636164,4.487991831209529e-06,-4.487991831209529e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
guatemala-volcano_00000012_post_disaster.png,guatemala-volcano,00000012,post,-90.80885796826026,14.364308367636164,4.487991831209529e-06,-4.487991831209529e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
guatemala-volcano_00000014_pre_disaster.png,guatemala-volcano,00000014,pre,-90.82855315966593,14.416091522044109,4.4878215397184745e-06,-4.4878215397184745e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
guatemala-volcano_00000014_post_disaster.png,guatemala-volcano,00000014,post,-90.82855315966593,14.416091522044109,4.4878215397184745e-06,-4.4878215397184745e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
guatemala-volcano_00000004_pre_disaster.png,guatemala-volcano,00000004,pre,-90.83307662397137,14.429745503865325,4.4879708582127425e-06,-4.4879708582127425e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
guatemala-volcano_00000004_post_disaster.png,guatemala-volcano,00000004,post,-90.83307662397137,14.429745503865325,4.4879708582127425e-06,-4.4879708582127425e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
hurricane-florence_00000105_pre_disaster.png,hurricane-florence,00000105,pre,-77.86771311431029,34.59113880257311,4.593346531572615e-06,-4.593346531572615e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
hurricane-florence_00000105_post_disaster.png,hurricane-florence,00000105,post,-77.86771311431029,34.59113880257311,4.593346531572615e-06,-4.593346531572615e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
hurricane-florence_00000291_pre_disaster.png,hurricane-florence,00000291,pre,-78.02158678254672,34.71412409143874,4.545584258874638e-06,-4.545584258874638e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
hurricane-florence_00000291_post_disaster.png,hurricane-florence,00000291,post,-78.02158678254672,34.71412409143874,4.545584258882019e-06,-4.545584258882019e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
hurricane-florence_00000520_pre_disaster.png,hurricane-florence,00000520,pre,-77.91317934030059,34.80954301374214,4.595631440471766e-06,-4.595631440471766e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
hurricane-florence_00000520_post_disaster.png,hurricane-florence,00000520,post,-77.91317934030059,34.80954301374214,4.595631440471766e-06,-4.595631440471766e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
hurricane-florence_00000511_pre_disaster.png,hurricane-florence,00000511,pre,-77.92636919823951,34.893491345979186,4.598655521706932e-06,-4.598655521706932e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
hurricane-florence_00000511_post_disaster.png,hurricane-florence,00000511,post,-77.92636919823951,34.893491345979186,4.598655521706932e-06,-4.598655521706932e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
hurricane-florence_00000198_pre_disaster.png,hurricane-florence,00000198,pre,-77.84689327955022,34.57897004309843,4.592806595503753e-06,-4.592806595503753e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
hurricane-florence_00000198_post_disaster.png,hurricane-florence,00000198,post,-77.84689327955022,34.57897004309843,4.592806595503753e-06,-4.592806595503753e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
hurricane-florence_00000354_pre_disaster.png,hurricane-florence,00000354,pre,-77.96777157220745,34.649541382719505,4.543030569734518e-06,-4.543030569734518e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
hurricane-florence_00000354_post_disaster.png,hurricane-florence,00000354,post,-77.96777157220745,34.649541382719505,4.543030569734518e-06,-4.543030569734518e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
hurricane-florence_00000270_pre_disaster.png,hurricane-florence,00000270,pre,-78.01289777792502,34.67174129711912,4.544211778186833e-06,-4.544211778186833e-06,"GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0],UNIT[""degree"",0.0174532925199433],AUTHORITY[""EPSG"",""4326""]]"
